,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
11438,Canada,Williams Lake,34,Good,1,Good,34,Good,0,Good,5,Good,52.1294,-122.1383,North America
11439,Germany,Wittenberge,34,Good,0,Good,33,Good,1,Good,34,Good,53.0,11.75,Europe
11440,United States,Wolcott,44,Good,1,Good,21,Good,12,Good,44,Good,41.6007,-72.9734,North America
11441,China,Xinyang,150,Unhealthy,3,Good,150,Unhealthy,2,Good,96,Moderate,32.1264,114.0672,Asia
11442,China,Yuci,136,Unhealthy for Sensitive Groups,2,Good,136,Unhealthy for Sensitive Groups,2,Good,81,Moderate,37.6823,112.7281,Asia
11443,China,Zhengjiatun,120,Unhealthy for Sensitive Groups,2,Good,120,Unhealthy for Sensitive Groups,1,Good,81,Moderate,43.513,123.5003,Asia
11444,France,Taverny,59,Moderate,1,Good,21,Good,5,Good,59,Moderate,49.0264,2.2275,Europe
11445,India,Teghra,159,Unhealthy,4,Good,127,Unhealthy for Sensitive Groups,1,Good,159,Unhealthy,26.4929,86.368,Asia
11446,Nicaragua,Tipitapa,31,Good,1,Good,15,Good,3,Good,31,Good,12.1964,-86.0969,North America
11447,Germany,Traunreut,69,Moderate,1,Good,37,Good,1,Good,69,Moderate,47.9667,12.5833,Europe
11448,Canada,Truro,41,Good,1,Good,15,Good,3,Good,41,Good,50.26,-5.051,North America
11449,Bosnia and Herzegovina,Tuzla,62,Moderate,1,Good,34,Good,0,Good,62,Moderate,40.8161,29.3006,Europe
11450,Germany,Uetze,36,Good,0,Good,33,Good,1,Good,36,Good,52.4661,10.2039,Europe
11451,Germany,Uhingen,63,Moderate,1,Good,29,Good,2,Good,63,Moderate,48.7058,9.5919,Europe
11452,India,Uran,139,Unhealthy for Sensitive Groups,1,Good,25,Good,1,Good,139,Unhealthy for Sensitive Groups,18.89,72.95,Asia
11453,Spain,Utrera,31,Good,1,Good,23,Good,4,Good,31,Good,37.183,-5.767,Europe
11454,United States,Vancouver,49,Good,1,Good,20,Good,10,Good,49,Good,49.25,-123.1,North America
11455,South Africa,Vanderbijlpark,275,Very Unhealthy,15,Good,8,Good,20,Good,275,Very Unhealthy,-26.6992,27.8356,Africa
11456,Netherlands,Vianen,34,Good,0,Good,34,Good,1,Good,34,Good,51.9833,5.1,Europe
11457,Philippines,Victorias,60,Moderate,1,Good,19,Good,0,Good,60,Moderate,10.9,123.0833,Asia
11458,South Africa,Sasolburg,181,Unhealthy,7,Good,8,Good,19,Good,181,Unhealthy,-26.8142,27.8286,Africa
11459,Switzerland,Schaffhausen,47,Good,2,Good,21,Good,6,Good,47,Good,47.7,8.6333,Europe
11460,Russia,Shagonar,42,Good,1,Good,42,Good,0,Good,28,Good,51.55,92.7667,Asia
11461,Ukraine,Shepetivka,36,Good,1,Good,36,Good,1,Good,28,Good,50.1833,27.0667,Europe
11462,United States,Somersworth,57,Moderate,2,Good,20,Good,8,Good,57,Moderate,43.2534,-70.8856,North America
11463,Italy,Sommacampagna,66,Moderate,2,Good,28,Good,8,Good,66,Moderate,45.4,10.85,Europe
11464,Germany,Starnberg,52,Moderate,1,Good,36,Good,4,Good,52,Moderate,47.9972,11.3406,Europe
11465,Czechia,Strakonice,55,Moderate,1,Good,43,Good,2,Good,55,Moderate,49.2615,13.9024,Europe
11466,Indonesia,Sumedang,67,Moderate,1,Good,37,Good,0,Good,67,Moderate,-6.84,107.9208,Asia
11467,United States,Chanhassen,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,44.8546,-93.5621,North America
11468,United States,Charleston,78,Moderate,3,Good,10,Good,22,Good,78,Moderate,32.8168,-79.9687,North America
11469,Russia,Chulym,43,Good,1,Good,43,Good,0,Good,23,Good,55.1167,80.9667,Asia
11470,Italy,Comiso,54,Moderate,1,Good,40,Good,1,Good,54,Moderate,36.95,14.6,Europe
11471,Cuba,Corralillo,106,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,106,Unhealthy for Sensitive Groups,22.9856,-80.5831,North America
11472,United States,Aliquippa,86,Moderate,2,Good,19,Good,23,Good,86,Moderate,40.6155,-80.2547,North America
11473,Kazakhstan,Almaty,83,Moderate,1,Good,46,Good,1,Good,83,Moderate,43.2775,76.8958,Asia
11474,Australia,Darwin,102,Unhealthy for Sensitive Groups,2,Good,58,Moderate,1,Good,102,Unhealthy for Sensitive Groups,-12.4381,130.8411,Oceania
11475,United Kingdom,Dewsbury,33,Good,1,Good,33,Good,3,Good,16,Good,53.691,-1.633,Europe
11476,India,Diphu,48,Good,2,Good,29,Good,0,Good,48,Good,25.83,93.43,Asia
11477,Ethiopia,Dodola,46,Good,1,Good,18,Good,0,Good,46,Good,6.9833,39.1833,Africa
11478,United Kingdom,Prescot,34,Good,1,Good,34,Good,4,Good,21,Good,53.4286,-2.8064,Europe
11479,Italy,Portomaggiore,65,Moderate,1,Good,47,Good,1,Good,65,Moderate,44.7,11.8,Europe
11480,Sweden,Ronneby,34,Good,1,Good,34,Good,1,Good,26,Good,56.2,15.2833,Europe
11481,Brazil,Rubiataba,42,Good,1,Good,7,Good,1,Good,42,Good,-15.1639,-49.8028,South America
11482,United States,Ridgefield,74,Moderate,2,Good,18,Good,19,Good,74,Moderate,41.3065,-73.5023,North America
11483,Germany,Olsberg,53,Moderate,1,Good,44,Good,0,Good,53,Moderate,51.35,8.4833,Europe
11484,Brazil,Osasco,132,Unhealthy for Sensitive Groups,2,Good,31,Good,6,Good,132,Unhealthy for Sensitive Groups,-23.5328,-46.7919,South America
11485,Finland,Oulu,34,Good,1,Good,34,Good,0,Good,3,Good,65.0142,25.4719,Europe
11486,United States,Paterson,52,Moderate,1,Good,45,Good,2,Good,52,Moderate,40.9147,-74.1624,North America
11487,United States,Pennsauken,48,Good,1,Good,48,Good,1,Good,40,Good,39.9649,-75.0563,North America
11488,China,Shuangyashan,135,Unhealthy for Sensitive Groups,3,Good,30,Good,10,Good,135,Unhealthy for Sensitive Groups,46.6388,131.1545,Asia
