,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
4457,Mexico,Meoqui,32,Good,1,Good,27,Good,0,Good,32,Good,28.2722,-105.4819,North America
4458,France,Meru,59,Moderate,1,Good,25,Good,4,Good,59,Moderate,0.05,37.65,Europe
4459,Germany,Mettingen,33,Good,0,Good,33,Good,1,Good,19,Good,52.3167,7.7806,Europe
4460,France,Mougins,100,Unhealthy for Sensitive Groups,2,Good,20,Good,9,Good,100,Unhealthy for Sensitive Groups,43.6,6.9947,Europe
4461,Uganda,Moyo,58,Moderate,1,Good,21,Good,0,Good,58,Moderate,3.6504,31.72,Africa
4462,France,Mulhouse,63,Moderate,2,Good,21,Good,4,Good,63,Moderate,47.75,7.34,Europe
4463,Ukraine,Nadvirna,51,Moderate,1,Good,32,Good,1,Good,51,Moderate,48.6333,24.5833,Europe
4464,Israel,Nahariyya,74,Moderate,1,Good,45,Good,7,Good,74,Moderate,33.0058,35.0989,Asia
4465,Thailand,Nang Rong,39,Good,0,Good,26,Good,0,Good,39,Good,14.6283,102.7933,Asia
4466,China,Nanning,128,Unhealthy for Sensitive Groups,3,Good,128,Unhealthy for Sensitive Groups,2,Good,116,Unhealthy for Sensitive Groups,22.8192,108.315,Asia
4467,United States,Natick,74,Moderate,2,Good,15,Good,18,Good,74,Moderate,42.2847,-71.3497,North America
4468,China,Neijiang,183,Unhealthy,9,Good,26,Good,31,Good,183,Unhealthy,29.5872,105.0635,Asia
4469,Ukraine,Nemyriv,37,Good,1,Good,37,Good,1,Good,18,Good,48.9794,28.8439,Europe
4470,United States,New Ulm,45,Good,1,Good,42,Good,1,Good,45,Good,44.312,-94.4685,North America
4471,United Kingdom,Newton Abbot,58,Moderate,1,Good,24,Good,6,Good,58,Moderate,50.529,-3.61,Europe
4472,Germany,Niederkassel,55,Moderate,1,Good,36,Good,2,Good,55,Moderate,50.8167,7.0333,Europe
4473,Belgium,Nieuwpoort,31,Good,1,Good,29,Good,3,Good,31,Good,51.1167,2.75,Europe
4474,Russia,Nizhniy Tagil,40,Good,1,Good,30,Good,0,Good,40,Good,57.9167,59.9667,Asia
4475,Malawi,Nkhotakota,59,Moderate,1,Good,19,Good,0,Good,59,Moderate,-12.9167,34.3,Africa
4476,Canada,North Battleford,33,Good,1,Good,33,Good,0,Good,6,Good,52.7575,-108.2861,North America
4477,Germany,Northeim,47,Good,1,Good,37,Good,1,Good,47,Good,51.7067,10.0011,Europe
4478,Brazil,Nova Era,45,Good,1,Good,11,Good,2,Good,45,Good,-19.7606,-43.0289,South America
4479,Serbia,Novi Sad,118,Unhealthy for Sensitive Groups,1,Good,42,Good,1,Good,118,Unhealthy for Sensitive Groups,45.2542,19.8425,Europe
4480,Russia,Novoaltaysk,56,Moderate,1,Good,35,Good,1,Good,56,Moderate,53.3833,83.9333,Asia
4481,Russia,Novoanninskiy,50,Good,1,Good,35,Good,0,Good,50,Good,50.5333,42.6833,Asia
4482,Israel,Ofaqim,69,Moderate,1,Good,49,Good,2,Good,69,Moderate,31.3167,34.6167,Asia
4483,United States,Ogdensburg,45,Good,1,Good,18,Good,5,Good,45,Good,44.7088,-75.4717,North America
4484,Japan,Mibu,37,Good,1,Good,37,Good,1,Good,11,Good,36.4422,139.8147,Asia
4485,United States,Mill Creek,35,Good,1,Good,31,Good,5,Good,35,Good,47.8631,-122.2037,North America
4486,France,Millau,144,Unhealthy for Sensitive Groups,1,Good,36,Good,1,Good,144,Unhealthy for Sensitive Groups,44.0986,3.0783,Europe
4487,Russia,Millerovo,43,Good,1,Good,40,Good,0,Good,43,Good,48.9167,40.3833,Asia
4488,Italy,Mira,60,Moderate,2,Good,30,Good,7,Good,60,Moderate,45.4375,12.1329,Europe
4489,Libya,Mizdah,155,Unhealthy,1,Good,31,Good,0,Good,155,Unhealthy,31.445,12.9831,Africa
4490,Philippines,Molave,38,Good,0,Good,14,Good,0,Good,38,Good,8.0933,123.485,Asia
4491,United States,Monticello,52,Moderate,1,Good,41,Good,3,Good,52,Moderate,45.2991,-93.7996,North America
4492,Peru,Moquegua,21,Good,0,Good,12,Good,1,Good,21,Good,-17.2,-70.9333,South America
4493,United States,Moreno Valley,69,Moderate,2,Good,8,Good,19,Good,69,Moderate,33.9244,-117.2045,North America
4494,Burundi,Gitega,56,Moderate,1,Good,26,Good,0,Good,56,Moderate,-3.4283,29.925,Africa
4495,France,Givors,67,Moderate,1,Good,60,Moderate,0,Good,67,Moderate,45.5906,4.7689,Europe
4496,Ethiopia,Goba,54,Moderate,1,Good,21,Good,0,Good,54,Moderate,7.0,39.9833,Africa
4497,United States,Goffstown,35,Good,1,Good,33,Good,1,Good,35,Good,43.019,-71.568,North America
4498,Brazil,Goianinha,23,Good,0,Good,23,Good,0,Good,19,Good,-6.2669,-35.21,South America
4499,France,Gradignan,41,Good,1,Good,41,Good,0,Good,21,Good,44.7725,-0.6156,Europe
4500,Costa Rica,Grecia,52,Moderate,1,Good,20,Good,2,Good,52,Moderate,10.0693,-84.3136,North America
4501,Germany,Griesheim,63,Moderate,1,Good,63,Moderate,0,Good,60,Moderate,49.8639,8.5639,Europe
4502,Netherlands,Grootegast,38,Good,1,Good,37,Good,0,Good,38,Good,53.2167,6.2833,Europe
4503,United States,Grove City,43,Good,1,Good,43,Good,1,Good,42,Good,39.8654,-83.069,North America
4504,United States,Guayama,129,Unhealthy for Sensitive Groups,0,Good,29,Good,0,Good,129,Unhealthy for Sensitive Groups,17.9743,-66.1104,North America
4505,India,Guskhara,160,Unhealthy,5,Good,33,Good,12,Good,160,Unhealthy,23.4928,87.7347,Asia
4506,Netherlands,Haaren,41,Good,1,Good,40,Good,0,Good,41,Good,51.6,5.2333,Europe
4507,Japan,Hakone,70,Moderate,1,Good,35,Good,5,Good,70,Moderate,35.1894,139.0247,Asia
4508,United States,Hampton,41,Good,1,Good,33,Good,2,Good,41,Good,37.0551,-76.363,North America
4509,Japan,Hashima,125,Unhealthy for Sensitive Groups,3,Good,10,Good,23,Good,125,Unhealthy for Sensitive Groups,35.3199,136.7033,Asia
4510,Dominican Republic,Hato Mayor,126,Unhealthy for Sensitive Groups,1,Good,33,Good,0,Good,126,Unhealthy for Sensitive Groups,18.7667,-69.25,North America
4511,Netherlands,Heemstede,38,Good,1,Good,38,Good,0,Good,32,Good,52.35,4.6167,Europe
4512,Mexico,Hermosillo,80,Moderate,1,Good,26,Good,0,Good,80,Moderate,29.0989,-110.9542,North America
4513,Germany,Hessisch Lichtenau,55,Moderate,1,Good,46,Good,0,Good,55,Moderate,51.2,9.7167,Europe
4514,Japan,Himi,104,Unhealthy for Sensitive Groups,2,Good,35,Good,13,Good,104,Unhealthy for Sensitive Groups,36.8567,136.9731,Asia
4515,India,Hindoria,163,Unhealthy,3,Good,72,Moderate,2,Good,163,Unhealthy,23.9035,79.5686,Asia
4516,United States,Hinsdale,58,Moderate,1,Good,33,Good,4,Good,58,Moderate,41.8007,-87.9273,North America
4517,Ghana,Ho,45,Good,1,Good,26,Good,0,Good,45,Good,6.6119,0.4703,Africa
4518,Germany,Hohen Neuendorf,45,Good,1,Good,45,Good,0,Good,26,Good,52.6667,13.2833,Europe
4519,United States,Hormigueros,110,Unhealthy for Sensitive Groups,0,Good,28,Good,0,Good,110,Unhealthy for Sensitive Groups,18.1437,-67.1199,North America
4520,Peru,Huaraz,9,Good,0,Good,9,Good,0,Good,8,Good,-9.5333,-77.5333,South America
4521,Peru,Huarmey,29,Good,0,Good,20,Good,0,Good,29,Good,-10.0686,-78.1603,South America
4522,Belgium,Ichtegem,36,Good,1,Good,36,Good,0,Good,32,Good,51.1,3.0,Europe
4523,Japan,Inawashiro,72,Moderate,3,Good,6,Good,18,Good,72,Moderate,37.5578,140.1048,Asia
4524,Brazil,Iranduba,52,Moderate,1,Good,5,Good,0,Good,52,Moderate,-3.285,-60.1886,South America
4525,Hungary,Isaszeg,65,Moderate,1,Good,65,Moderate,0,Good,59,Moderate,47.5333,19.4,Europe
4526,Germany,Iserlohn,53,Moderate,1,Good,44,Good,0,Good,53,Moderate,51.3833,7.6667,Europe
4527,France,Issoire,64,Moderate,1,Good,42,Good,0,Good,64,Moderate,45.5442,3.2489,Europe
4528,Brazil,Itapecerica,29,Good,1,Good,25,Good,0,Good,29,Good,-20.4728,-45.1258,South America
4529,Japan,Iwanai,58,Moderate,1,Good,32,Good,3,Good,58,Moderate,42.9798,140.5146,Asia
4530,Slovenia,Izola,82,Moderate,1,Good,50,Good,0,Good,82,Moderate,45.5344,13.6675,Europe
4531,Serbia,Jagodina,56,Moderate,1,Good,52,Moderate,0,Good,56,Moderate,43.975,21.2564,Europe
4532,India,Jammu,158,Unhealthy,4,Good,53,Moderate,4,Good,158,Unhealthy,32.73,74.87,Asia
4533,Finland,Janakkala,36,Good,1,Good,36,Good,0,Good,4,Good,60.9167,24.65,Europe
4534,Ethiopia,Jijiga,90,Moderate,1,Good,21,Good,0,Good,90,Moderate,9.35,42.8,Africa
4535,United States,Johnstown,52,Moderate,1,Good,41,Good,2,Good,52,Moderate,40.326,-78.9194,North America
4536,Brazil,Jucurutu,24,Good,0,Good,24,Good,0,Good,18,Good,-6.0339,-37.02,South America
4537,Russia,Kamyzyak,97,Moderate,1,Good,43,Good,0,Good,97,Moderate,46.1167,48.0833,Asia
4538,Pakistan,Kasur,173,Unhealthy,4,Good,76,Moderate,8,Good,173,Unhealthy,31.1167,74.45,Asia
4539,Nigeria,Katsina,79,Moderate,2,Good,45,Good,0,Good,79,Moderate,12.9889,7.6008,Africa
4540,United States,Katy,27,Good,0,Good,26,Good,0,Good,27,Good,29.7905,-95.8353,North America
4541,Russia,Kazan,43,Good,1,Good,34,Good,3,Good,43,Good,55.7964,49.1089,Asia
4542,Indonesia,Kendari,56,Moderate,1,Good,18,Good,0,Good,56,Moderate,-3.9907,122.5086,Asia
4543,United States,Kennewick,37,Good,1,Good,28,Good,2,Good,37,Good,46.1978,-119.1732,North America
4544,Germany,Ketsch,65,Moderate,1,Good,60,Moderate,0,Good,65,Moderate,49.3658,8.5336,Europe
4545,Iran,Alvand,46,Good,1,Good,46,Good,0,Good,30,Good,36.1892,50.0642,Asia
4546,United States,Americus,57,Moderate,2,Good,23,Good,5,Good,57,Moderate,32.0736,-84.2248,North America
4547,United States,Ammon,49,Good,1,Good,14,Good,5,Good,49,Good,43.4745,-111.9568,North America
4548,Thailand,Amnat Charoen,46,Good,1,Good,27,Good,0,Good,46,Good,15.85,104.6333,Asia
4549,United States,Anchorage,69,Moderate,1,Good,26,Good,3,Good,69,Moderate,61.1508,-149.1091,North America
4550,India,Anjangaon,114,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,114,Unhealthy for Sensitive Groups,21.15,77.28,Asia
4551,Brazil,Araguari,40,Good,1,Good,5,Good,1,Good,40,Good,-18.6489,-48.1869,South America
4552,Papua New Guinea,Arawa,50,Good,0,Good,12,Good,0,Good,50,Good,-6.225,155.5667,Oceania
4553,United States,Ardmore,45,Good,1,Good,35,Good,2,Good,45,Good,40.0033,-75.2947,North America
4554,Philippines,Abucay,47,Good,1,Good,27,Good,1,Good,47,Good,14.7222,120.5354,Asia
4555,Equatorial Guinea,Aconibe,52,Moderate,1,Good,20,Good,0,Good,52,Moderate,1.3,10.9333,Africa
4556,Iran,Ahar,50,Good,1,Good,39,Good,0,Good,50,Good,38.4847,47.0678,Asia
4557,Russia,Akhtubinsk,38,Good,1,Good,38,Good,0,Good,3,Good,48.2833,46.1667,Asia
4558,France,Albi,58,Moderate,1,Good,31,Good,2,Good,58,Moderate,43.9289,2.1464,Europe
4559,Russia,Aleksandrov,56,Moderate,1,Good,21,Good,6,Good,56,Moderate,56.3936,38.715,Asia
4560,India,Alipur,174,Unhealthy,5,Good,167,Unhealthy,4,Good,174,Unhealthy,18.8621,78.8754,Asia
4561,Brazil,Schroeder,56,Moderate,1,Good,12,Good,4,Good,56,Moderate,-26.4128,-49.0728,South America
4562,Germany,Schwaigern,66,Moderate,1,Good,37,Good,2,Good,66,Moderate,49.1333,9.05,Europe
4563,Austria,Schwaz,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,47.35,11.7,Europe
4564,Japan,Sennan,30,Good,1,Good,30,Good,2,Good,22,Good,34.3628,135.2761,Asia
4565,El Salvador,Sensuntepeque,104,Unhealthy for Sensitive Groups,3,Good,0,Good,13,Good,104,Unhealthy for Sensitive Groups,13.8667,-88.6333,North America
4566,Russia,Shakhunya,57,Moderate,1,Good,31,Good,1,Good,57,Moderate,57.6667,46.6167,Asia
4567,South Africa,Orkney,182,Unhealthy,10,Good,16,Good,14,Good,182,Unhealthy,-26.9789,26.6692,Africa
4568,United States,Overlea,33,Good,1,Good,31,Good,7,Good,33,Good,39.3642,-76.5175,North America
4569,Panama,Pacora,134,Unhealthy for Sensitive Groups,4,Good,11,Good,13,Good,134,Unhealthy for Sensitive Groups,9.08,-79.28,North America
4570,United States,Palm Bay,51,Moderate,1,Good,25,Good,7,Good,51,Moderate,27.9631,-80.6593,North America
4571,United States,Palos Verdes Estates,93,Moderate,3,Good,13,Good,39,Good,93,Moderate,33.7872,-118.3973,North America
4572,Guatemala,Panajachel,82,Moderate,2,Good,13,Good,9,Good,82,Moderate,14.7361,-91.1558,North America
4573,France,Pantin,61,Moderate,1,Good,19,Good,7,Good,61,Moderate,48.8966,2.4017,Europe
4574,Brazil,Paranapanema,31,Good,1,Good,14,Good,1,Good,31,Good,-23.3886,-48.7228,South America
4575,Uzbekistan,Parkent,91,Moderate,1,Good,63,Moderate,1,Good,91,Moderate,41.2944,69.6764,Asia
4576,United States,Parsons,87,Moderate,1,Good,27,Good,3,Good,87,Moderate,37.3405,-95.2958,North America
4577,United States,Perth Amboy,58,Moderate,2,Good,18,Good,17,Good,58,Moderate,40.5202,-74.2724,North America
4578,United States,Petersburg,42,Good,1,Good,41,Good,2,Good,42,Good,37.2043,-77.3913,North America
4579,Thailand,Phayao,34,Good,0,Good,26,Good,0,Good,34,Good,19.1653,99.9036,Asia
4580,Colombia,Piedecuesta,35,Good,1,Good,9,Good,3,Good,35,Good,7.0833,-73.0,South America
4581,Mexico,Pijijiapan,68,Moderate,1,Good,18,Good,1,Good,68,Moderate,15.6917,-93.2093,North America
4582,Colombia,Pitalito,55,Moderate,2,Good,1,Good,2,Good,55,Moderate,1.8989,-76.0419,South America
4583,Brazil,Pitanga,36,Good,1,Good,12,Good,0,Good,36,Good,-24.7569,-51.7608,South America
4584,Brazil,Planaltina,70,Moderate,1,Good,6,Good,5,Good,70,Moderate,-15.4528,-47.6139,South America
4585,United States,Plant City,83,Moderate,2,Good,5,Good,23,Good,83,Moderate,28.014,-82.1201,North America
4586,United States,Northglenn,78,Moderate,2,Good,4,Good,16,Good,78,Moderate,39.9108,-104.9783,North America
4587,Italy,Nova Milanese,104,Unhealthy for Sensitive Groups,1,Good,34,Good,5,Good,104,Unhealthy for Sensitive Groups,45.5833,9.2,Europe
4588,Bosnia and Herzegovina,Novi Travnik,47,Good,1,Good,33,Good,0,Good,47,Good,44.1748,17.6634,Europe
4589,Russia,Novocheboksarsk,51,Moderate,1,Good,31,Good,1,Good,51,Moderate,56.1333,47.5,Asia
4590,Poland,Oborniki,35,Good,0,Good,31,Good,1,Good,35,Good,52.65,16.8167,Europe
4591,United States,Odessa,66,Moderate,1,Good,30,Good,1,Good,66,Moderate,31.8801,-102.3448,North America
4592,Latvia,Olaine,37,Good,1,Good,31,Good,0,Good,37,Good,56.7833,23.9333,Europe
4593,Italy,Olgiate Olona,105,Unhealthy for Sensitive Groups,1,Good,37,Good,4,Good,105,Unhealthy for Sensitive Groups,45.6333,8.8833,Europe
4594,Ethiopia,Giyon,86,Moderate,1,Good,24,Good,0,Good,86,Moderate,8.5333,37.9667,Africa
4595,United States,Glen Cove,71,Moderate,2,Good,13,Good,24,Good,71,Moderate,40.8709,-73.6287,North America
4596,United States,Glenview,62,Moderate,2,Good,24,Good,19,Good,62,Moderate,42.0825,-87.8214,North America
4597,United States,Gloucester,30,Good,1,Good,27,Good,5,Good,30,Good,51.8644,-2.2444,North America
4598,Chile,Graneros,134,Unhealthy for Sensitive Groups,3,Good,4,Good,15,Good,134,Unhealthy for Sensitive Groups,-34.0647,-70.7264,South America
4599,Germany,Gronau,36,Good,0,Good,33,Good,1,Good,36,Good,52.2125,7.0417,Europe
4600,Mexico,Guanajuato,41,Good,1,Good,17,Good,3,Good,41,Good,21.0178,-101.2567,North America
4601,New Zealand,Invercargill,14,Good,0,Good,12,Good,1,Good,14,Good,-46.4131,168.3475,Oceania
4602,United States,Ionia,44,Good,1,Good,34,Good,4,Good,44,Good,42.9773,-85.0727,North America
4603,Malaysia,Ipoh,69,Moderate,1,Good,38,Good,0,Good,69,Moderate,4.5972,101.075,Asia
4604,Congo,Isiro,39,Good,2,Good,7,Good,0,Good,39,Good,2.7833,27.6167,Africa
4605,Russia,Iskitim,36,Good,1,Good,36,Good,0,Good,36,Good,54.64,83.3061,Asia
4606,Brazil,Itamarandiba,32,Good,1,Good,7,Good,2,Good,32,Good,-17.8569,-42.8589,South America
4607,Japan,Itami,43,Good,1,Good,43,Good,1,Good,18,Good,34.7833,135.4,Asia
4608,Brazil,Itaporanga,31,Good,1,Good,13,Good,1,Good,31,Good,-7.3039,-38.15,South America
4609,Brazil,Itaqui,12,Good,1,Good,12,Good,0,Good,8,Good,-29.125,-56.5528,South America
4610,Mexico,Ixtapaluca,321,Hazardous,5,Good,6,Good,21,Good,321,Hazardous,19.3186,-98.8822,North America
4611,India,Jangaon,101,Unhealthy for Sensitive Groups,1,Good,28,Good,0,Good,101,Unhealthy for Sensitive Groups,17.7227,79.1518,Asia
4612,Brazil,Jussara,38,Good,1,Good,10,Good,1,Good,38,Good,-15.865,-50.8678,South America
4613,Germany,Kaarst,42,Good,1,Good,27,Good,3,Good,42,Good,51.2167,6.6167,Europe
4614,Philippines,Kabankalan,81,Moderate,1,Good,16,Good,0,Good,81,Moderate,9.9833,122.8167,Asia
4615,United States,Kahului,27,Good,0,Good,27,Good,0,Good,26,Good,20.8715,-156.4603,North America
4616,China,Kaihua,23,Good,0,Good,23,Good,0,Good,13,Good,23.3715,104.2437,Asia
4617,Pakistan,Kamalia,192,Unhealthy,2,Good,137,Unhealthy for Sensitive Groups,1,Good,192,Unhealthy,30.7258,72.6447,Asia
4618,Pakistan,Kambar,173,Unhealthy,1,Good,61,Moderate,2,Good,173,Unhealthy,27.5868,68.001,Asia
4619,Japan,Kanie,44,Good,1,Good,44,Good,1,Good,16,Good,35.1322,136.7868,Asia
4620,Kenya,Kapenguria,64,Moderate,2,Good,27,Good,0,Good,64,Moderate,1.2333,35.1167,Africa
4621,Germany,Karlsruhe,55,Moderate,1,Good,28,Good,3,Good,55,Moderate,49.0092,8.404,Europe
4622,Japan,Kasaoka,45,Good,1,Good,45,Good,1,Good,33,Good,34.5039,133.51,Asia
4623,Burkina,Kaya,38,Good,2,Good,15,Good,2,Good,38,Good,13.0833,-1.0833,Africa
4624,Ukraine,Kerch,40,Good,1,Good,40,Good,0,Good,17,Good,45.3619,36.4711,Europe
4625,Kenya,Kerugoya,62,Moderate,2,Good,20,Good,1,Good,62,Moderate,-0.5,37.2833,Africa
4626,Philippines,Olongapo,66,Moderate,0,Good,25,Good,0,Good,66,Moderate,14.83,120.28,Asia
4627,Switzerland,Onex,35,Good,1,Good,27,Good,1,Good,35,Good,46.1833,6.1,Europe
4628,Netherlands,Opmeer,37,Good,1,Good,29,Good,4,Good,37,Good,52.7,4.95,Europe
4629,Italy,Ostuni,57,Moderate,1,Good,57,Moderate,0,Good,37,Good,40.7333,17.5833,Europe
4630,Indonesia,Padang,57,Moderate,2,Good,32,Good,0,Good,57,Moderate,-0.95,100.3531,Asia
4631,Brazil,Papagaios,88,Moderate,3,Good,1,Good,10,Good,88,Moderate,-19.4489,-44.7478,South America
4632,Brazil,Parambu,16,Good,0,Good,12,Good,0,Good,16,Good,-6.2108,-40.6939,South America
4633,Italy,Partanna,66,Moderate,1,Good,45,Good,0,Good,66,Moderate,37.7289,12.8894,Europe
4634,France,Parthenay,28,Good,1,Good,28,Good,2,Good,28,Good,46.6486,-0.2469,Europe
4635,Germany,Passau,28,Good,1,Good,28,Good,1,Good,28,Good,48.5744,13.4647,Europe
4636,Bulgaria,Pavlikeni,48,Good,1,Good,39,Good,1,Good,48,Good,43.2428,25.3217,Europe
4637,Russia,Pavlovskiy Posad,31,Good,1,Good,31,Good,0,Good,27,Good,55.7667,38.6667,Asia
4638,United States,Pearl,55,Moderate,1,Good,21,Good,3,Good,55,Moderate,32.273,-90.0918,North America
4639,Brazil,Pedro Leopoldo,150,Unhealthy,5,Good,0,Good,10,Good,150,Unhealthy,-19.6178,-44.0428,South America
4640,Belgium,Peer,37,Good,1,Good,32,Good,3,Good,37,Good,51.1328,5.4536,Europe
4641,Germany,Pegnitz,27,Good,1,Good,27,Good,2,Good,27,Good,49.7564,11.545,Europe
4642,Mozambique,Pemba,32,Good,0,Good,22,Good,0,Good,32,Good,-12.9667,40.55,Africa
4643,Italy,Penne,45,Good,1,Good,45,Good,1,Good,34,Good,42.45,13.9167,Europe
4644,Romania,Petrila,53,Moderate,1,Good,40,Good,0,Good,53,Moderate,45.45,23.42,Europe
4645,Thailand,Phetchabun,44,Good,0,Good,21,Good,0,Good,44,Good,16.4169,101.1533,Asia
4646,United States,Hobbs,82,Moderate,1,Good,33,Good,0,Good,82,Moderate,32.7281,-103.16,North America
4647,Switzerland,Horw,95,Moderate,1,Good,25,Good,2,Good,95,Moderate,47.0167,8.3167,Europe
4648,Netherlands,Houten,35,Good,0,Good,34,Good,1,Good,35,Good,52.0333,5.1667,Europe
4649,Peru,Huacho,38,Good,1,Good,20,Good,1,Good,38,Good,-11.1,-77.6,South America
4650,Guatemala,Huehuetenango,73,Moderate,2,Good,7,Good,6,Good,73,Moderate,15.3147,-91.4761,North America
4651,Uganda,Iganga,111,Unhealthy for Sensitive Groups,4,Good,29,Good,1,Good,111,Unhealthy for Sensitive Groups,0.615,33.485,Africa
4652,Peru,Ilave,25,Good,0,Good,14,Good,1,Good,25,Good,-16.0836,-69.6383,South America
4653,United States,Gloucester City,53,Moderate,1,Good,29,Good,8,Good,53,Moderate,39.8924,-75.1172,North America
4654,Brazil,Goianira,87,Moderate,3,Good,1,Good,8,Good,87,Moderate,-16.4958,-49.4258,South America
4655,United States,Golden Gate,42,Good,1,Good,21,Good,5,Good,42,Good,26.1844,-81.7031,North America
4656,United States,Golden Valley,50,Good,1,Good,40,Good,4,Good,50,Good,44.9901,-93.3591,North America
4657,United States,Goldenrod,55,Moderate,1,Good,16,Good,15,Good,55,Moderate,28.6114,-81.2916,North America
4658,Nigeria,Gombe,60,Moderate,3,Good,24,Good,0,Good,60,Moderate,10.2904,11.17,Africa
4659,United States,Goodlettsville,79,Moderate,1,Good,32,Good,4,Good,79,Moderate,36.333,-86.7026,North America
4660,Russia,Gornozavodsk,28,Good,1,Good,28,Good,0,Good,27,Good,58.3667,58.3333,Asia
4661,United States,Grand Rapids,75,Moderate,3,Good,7,Good,19,Good,75,Moderate,42.9619,-85.6562,North America
4662,United States,Grandview,70,Moderate,1,Good,32,Good,9,Good,70,Moderate,38.8802,-94.5227,North America
4663,United States,Grass Valley,54,Moderate,2,Good,25,Good,8,Good,54,Moderate,39.2238,-121.0522,North America
4664,United Kingdom,Great Sankey,32,Good,1,Good,20,Good,6,Good,32,Good,53.3918,-2.6383,Europe
4665,United States,Greece,45,Good,1,Good,34,Good,5,Good,45,Good,43.246,-77.6988,North America
4666,France,Francheville,37,Good,1,Good,26,Good,2,Good,37,Good,45.7364,4.7636,Europe
4667,Germany,Freilassing,31,Good,1,Good,31,Good,2,Good,18,Good,47.8333,12.9667,Europe
4668,Spain,Fuenlabrada,50,Good,1,Good,13,Good,7,Good,50,Good,40.2833,-3.8,Europe
4669,Germany,Gaildorf,38,Good,1,Good,24,Good,3,Good,38,Good,49.0,9.7667,Europe
4670,Liberia,Ganta,47,Good,1,Good,11,Good,0,Good,47,Good,7.2375,-8.9814,Africa
4671,Romania,Gherla,73,Moderate,1,Good,42,Good,0,Good,73,Moderate,47.02,23.9,Europe
4672,United Kingdom,Giffnock,28,Good,1,Good,22,Good,5,Good,28,Good,55.8051,-4.2946,Europe
4673,Italy,Giovinazzo,48,Good,1,Good,48,Good,1,Good,45,Good,41.1833,16.6667,Europe
4674,United States,Coatesville,52,Moderate,1,Good,29,Good,7,Good,52,Moderate,39.9849,-75.82,North America
4675,Italy,Concorezzo,59,Moderate,1,Good,37,Good,3,Good,59,Moderate,45.5897,9.3359,Europe
4676,Romania,Cugir,70,Moderate,1,Good,39,Good,0,Good,70,Moderate,45.8436,23.3636,Europe
4677,Italy,Cuneo,65,Moderate,2,Good,15,Good,4,Good,65,Moderate,44.3833,7.55,Europe
4678,United States,Downers Grove,73,Moderate,2,Good,13,Good,19,Good,73,Moderate,41.7949,-88.0172,North America
4679,Brazil,Duartina,35,Good,1,Good,11,Good,2,Good,35,Good,-22.4144,-49.4039,South America
4680,Luxembourg,Dudelange,26,Good,1,Good,26,Good,2,Good,23,Good,49.4833,6.0833,Europe
4681,United Kingdom,Dunfermline,36,Good,1,Good,19,Good,9,Good,36,Good,56.0719,-3.4393,Europe
4682,Russia,Dyatkovo,40,Good,0,Good,34,Good,0,Good,40,Good,53.6,34.3333,Asia
4683,Germany,Eching,48,Good,1,Good,26,Good,3,Good,48,Good,48.3,11.6167,Europe
4684,Kenya,Eldoret,74,Moderate,3,Good,31,Good,0,Good,74,Moderate,0.5167,35.2833,Africa
4685,United States,Elk City,54,Moderate,1,Good,30,Good,1,Good,54,Moderate,35.3862,-99.4301,North America
4686,India,Etah,500,Hazardous,1,Good,50,Good,3,Good,437,Hazardous,27.63,78.67,Asia
4687,Belgium,Eupen,30,Good,0,Good,25,Good,2,Good,30,Good,50.6333,6.0333,Europe
4688,United States,Fairfax,54,Moderate,1,Good,31,Good,5,Good,54,Moderate,38.8531,-77.2997,North America
4689,Senegal,Fatick,135,Unhealthy for Sensitive Groups,1,Good,28,Good,3,Good,135,Unhealthy for Sensitive Groups,14.3333,-16.4069,Africa
4690,United States,Flint,84,Moderate,2,Good,25,Good,10,Good,84,Moderate,43.0236,-83.6921,North America
4691,United States,Forest City,48,Good,1,Good,25,Good,11,Good,48,Good,28.6619,-81.4444,North America
4692,India,Gurh,204,Very Unhealthy,1,Good,42,Good,1,Good,204,Very Unhealthy,24.5026,81.5004,Asia
4693,Philippines,Hagonoy,52,Moderate,1,Good,27,Good,0,Good,52,Moderate,14.8333,120.7333,Asia
4694,Austria,Hallein,32,Good,1,Good,32,Good,1,Good,11,Good,47.6667,13.0833,Europe
4695,Japan,Hamura,52,Moderate,1,Good,52,Moderate,2,Good,36,Good,35.7672,139.3109,Asia
4696,United States,Haslett,77,Moderate,2,Good,23,Good,8,Good,77,Moderate,42.7525,-84.402,North America
4697,United States,Hayesville,42,Good,1,Good,21,Good,8,Good,42,Good,44.9793,-122.9738,North America
4698,United Kingdom,Haywards Heath,32,Good,1,Good,17,Good,10,Good,32,Good,51.0048,-0.0979,Europe
4699,Netherlands,Heerde,31,Good,0,Good,30,Good,2,Good,31,Good,52.3833,6.05,Europe
4700,China,Helong,41,Good,1,Good,41,Good,0,Good,38,Good,42.5404,129.0039,Asia
4701,Costa Rica,Heredia,64,Moderate,2,Good,7,Good,10,Good,64,Moderate,9.9985,-84.1169,North America
4702,Spain,Hernani,41,Good,0,Good,40,Good,0,Good,41,Good,43.2667,-1.9667,Europe
